,Ano_sem,ear_max_subsistema,ear_verif_subsistema_mwmes,ear_verif_subsistema_percentual
2536,2013_15,51809.0,161999.0,44.669999804285716
2540,2013_16,51809.0,167930.0,46.30571528714285
2544,2013_17,51809.0,172891.0,47.67285701142857
2548,2013_18,51809.0,177008.0,48.808571951428576
2552,2013_19,51809.0,178620.0,49.249999998571425
2556,2013_2,51809.0,107470.0,29.634285518571428
2560,2013_20,51809.0,177839.0,49.038570948571426
2564,2013_21,51809.0,176582.0,48.691428048571424
2568,2013_22,51809.0,175680.0,48.441428048571424
2572,2013_23,51809.0,174802.0,48.198571341428575
2576,2013_24,51809.0,173441.0,47.82428523428571
2580,2013_25,51809.0,171994.0,47.425714219999996
2584,2013_26,51809.0,169143.0,46.64142935571429
2588,2013_27,51809.0,166208.0,45.83000074
2592,2013_28,51809.0,163102.0,44.975714002857146
2596,2013_29,51809.0,159436.0,43.962857927142856
2600,2013_3,51809.0,107429.0,29.622856957142858
2604,2013_30,51809.0,153867.0,42.42857142857143
2608,2013_31,51809.0,149111.0,41.115714481428576
2612,2013_32,51809.0,145330.0,40.07428577857143
2616,2013_33,51809.0,141890.0,39.125713347142856
2620,2013_34,51809.0,137994.0,38.051428112857145
2624,2013_35,51809.0,134079.0,36.972856791428576
2628,2013_36,51809.0,128147.0,35.33428573714286
2632,2013_37,51809.0,123919.0,34.168571472857145
2636,2013_38,51809.0,119411.0,32.92428479714285
2640,2013_39,51809.0,113738.0,31.362856728571426
2644,2013_4,51809.0,111141.0,30.644285747142856
2648,2013_40,51809.0,108467.0,29.907142911428572
2652,2013_41,51809.0,102127.0,28.161428724285713
2656,2013_42,51809.0,98478.0,27.154285702857145
2660,2013_43,51809.0,94331.0,26.009999682857142
2664,2013_44,51809.0,90971.0,25.084285737142856
2668,2013_45,51809.0,87871.0,24.227142877142857
2672,2013_46,51809.0,84054.0,23.178571428571427
2676,2013_47,51809.0,80205.0,22.115714484285714
2680,2013_48,51809.0,80253.0,22.12571416571429
2684,2013_49,51809.0,80875.0,22.30142865857143
2688,2013_5,51809.0,118889.0,32.78285707571429
2692,2013_50,51809.0,84825.0,23.389999934285715
2696,2013_51,51809.0,94638.0,26.09428569285714
2700,2013_52,51809.0,110910.0,30.58285713142857
2704,2013_6,51809.0,130371.0,35.948571887142855
2708,2013_7,51809.0,141804.0,39.10142844
2712,2013_8,51809.0,148542.0,40.95714296714285
2716,2013_9,51809.0,150954.0,41.62571443857143
2720,2014_1,51809.0,117285.0,28.294999360000002
2724,2014_10,51809.0,150838.0,41.592856815714285
2728,2014_11,51809.0,150748.0,41.5657147
2732,2014_12,51809.0,150234.0,41.424285344285714
2736,2014_13,51809.0,150568.0,41.51714270285714
2740,2014_14,51809.0,149752.0,41.29285703428571
2744,2014_15,51809.0,153867.0,42.42857143
2748,2014_16,51809.0,156383.0,43.12000056714286
2752,2014_17,51809.0,156735.0,43.21857125428572
2756,2014_18,51809.0,156339.0,43.10714231000001
2760,2014_19,51809.0,155010.0,42.742856707142856
2764,2014_2,51809.0,137561.0,37.93000030571428
2768,2014_20,51809.0,152415.0,42.02571432999999
2772,2014_21,51809.0,150180.0,41.41142872285714
2776,2014_22,51809.0,147413.0,40.647142681428576
2780,2014_23,51809.0,143700.0,39.62428501714286
2784,2014_24,51809.0,140267.0,38.67857197428572
2788,2014_25,51809.0,136420.0,37.615714481428576
2792,2014_26,51809.0,132662.0,36.582856858571425
2796,2014_27,51809.0,128864.0,35.53428540857143
2800,2014_28,51809.0,125540.0,34.61714226857143
2804,2014_29,51809.0,121808.0,33.58571461285714
2808,2014_3,51809.0,148056.0,40.82428523428571
2812,2014_30,51809.0,118158.0,32.57857186571429
2816,2014_31,51809.0,114795.0,31.655714034285715
2820,2014_32,51809.0,110137.0,30.370000021428574
2824,2014_33,51809.0,106949.0,29.490000041428573
2828,2014_34,51809.0,102529.0,28.270000458571428
2832,2014_35,51809.0,98703.0,27.214285442857143
2836,2014_36,51809.0,94288.0,26.0
2840,2014_37,51809.0,89104.0,24.56714303142857
2844,2014_38,51809.0,84877.0,23.404285977142855
2848,2014_39,51809.0,80042.0,22.07000024142857
2852,2014_4,51809.0,152086.0,41.93857193
2856,2014_40,51809.0,74638.0,20.580000194285713
2860,2014_41,51809.0,69237.0,19.090000154285715
2864,2014_42,51809.0,64416.0,17.762856892857144
2868,2014_43,51809.0,60089.0,16.56714276
2872,2014_44,51809.0,54966.0,15.157142910000001
2876,2014_45,51809.0,50063.0,13.802857262857144
2880,2014_46,51809.0,47404.0,13.071428707142857
2884,2014_47,51809.0,46240.0,12.750000137142859
2888,2014_48,51809.0,45321.0,12.497142792857144
2892,2014_49,51809.0,47242.0,13.027142797142858
2896,2014_5,51809.0,152709.0,42.10714285857143
2900,2014_50,51809.0,49445.0,13.635714258571427
2904,2014_51,51809.0,54885.0,15.13285705
2908,2014_52,51809.0,59612.0,16.43571445
2912,2014_6,51809.0,153476.0,42.319999692857145
2916,2014_7,51809.0,152699.0,42.10285731571429
2920,2014_8,51809.0,151263.0,41.70857075285714
2924,2014_9,51809.0,150029.0,41.37000002142857
2928,2015_1,51809.0,36402.0,17.5650000575
2932,2015_10,51809.0,66880.0,18.441428594285714
2936,2015_11,51809.0,69149.0,19.06714275857143
2940,2015_12,51809.0,73380.0,20.232857295714286
2944,2015_13,51809.0,79878.0,22.025714055714285
2948,2015_14,51809.0,85424.0,23.554285865714288
2952,2015_15,51809.0,91666.0,25.277142934285713
2956,2015_16,51809.0,93644.0,25.821428298571426
2960,2015_17,51809.0,95898.0,26.44285746857143
2964,2015_18,51809.0,96813.0,26.69428580142857
2968,2015_19,51809.0,96035.0,26.481428420000004
2972,2015_2,51809.0,64136.0,17.68571390285714
2976,2015_20,51809.0,96558.0,26.624285562857143
2980,2015_21,51809.0,96343.0,26.56571442857143
2984,2015_22,51809.0,95949.0,26.457142967142858
2988,2015_23,51809.0,94843.0,26.152857098571427
2992,2015_24,51809.0,93819.0,25.870000295714284
2996,2015_25,51809.0,92213.0,25.42571422
3000,2015_26,51809.0,90717.0,25.014285771428572
3004,2015_27,51809.0,88839.0,24.49571446
3008,2015_28,51809.0,86882.0,23.955714634285716
3012,2015_29,51809.0,84082.0,23.185714175714285
3016,2015_3,51809.0,62716.0,17.29428591142857
3020,2015_30,51809.0,81767.0,22.54428563857143
3024,2015_31,51809.0,79131.0,21.818571090000002
3028,2015_32,51809.0,76163.0,21.001428604285714
3032,2015_33,51809.0,73235.0,20.191428865714283
3036,2015_34,51809.0,69908.0,19.278571264285716
3040,2015_35,51809.0,66648.0,18.378571647142856
3044,2015_36,51809.0,62934.0,17.352857317142856
3048,2015_37,51809.0,59051.0,16.28142861
3052,2015_38,51809.0,55524.0,15.311428752857143
3056,2015_39,51809.0,51363.0,14.164285795714287
3060,2015_4,51809.0,60391.0,16.65142849571429
3064,2015_40,51809.0,48037.0,13.245714324285714
3068,2015_41,51809.0,43284.0,11.934285847142858
3072,2015_42,51809.0,39245.0,10.821428571428571
3076,2015_43,51809.0,35076.0,9.672857285714286
3080,2015_44,51809.0,30808.0,8.494285651428571
3084,2015_45,51809.0,26674.0,7.357142789999999
3088,2015_46,51809.0,22779.0,6.281428541428572
3092,2015_47,51809.0,19800.0,5.460000107142856
3096,2015_48,51809.0,17551.0,4.839999948571429
3100,2015_49,51809.0,15954.0,4.401428562857143
3104,2015_5,51809.0,58072.0,16.01142856142857
3108,2015_50,51809.0,16971.0,4.6785714971428565
3112,2015_51,51809.0,17647.0,4.867142814285714
3116,2015_52,51809.0,18080.0,4.984285695714285
3120,2015_53,51809.0,10067.0,4.8599998975
3124,2015_6,51809.0,56618.0,15.611428532857143
3128,2015_7,51809.0,57385.0,15.821428434285716
3132,2015_8,51809.0,58819.0,16.218571117142858
3136,2015_9,51809.0,64189.0,17.700000217142858
3140,2016_1,51809.0,17738.0,4.89000007
3144,2016_10,51809.0,118611.0,32.70428575857143
3148,2016_11,51809.0,119848.0,33.048571450000004
3152,2016_12,51809.0,122062.0,33.655714305714284
