,Ano_sem,val_cargaenergiamwmed
1900,2010_13,56844.94883332
1904,2010_14,57799.34216667
1908,2010_15,56711.99370834
1912,2010_16,56875.45366667
1916,2010_17,57962.27338106
1920,2010_18,57909.9681908
1924,2010_19,59190.25580566
1928,2010_2,56622.63333333
1932,2010_20,58377.36592407
1936,2010_21,58909.93254256
1940,2010_22,56965.93720897
1944,2010_23,57971.24416666
1948,2010_24,55759.16833333
1952,2010_25,54183.92083333
1956,2010_26,53870.73
1960,2010_27,55110.240833330005
1964,2010_28,55631.72124999
1968,2010_29,54731.37958333
1972,2010_3,56997.50458333
1976,2010_30,54725.51275
1980,2010_31,53836.571875
1984,2010_32,54019.56745833
1988,2010_33,54148.54033333
1992,2010_34,54991.43924999
1996,2010_35,55217.84958334
2000,2010_36,54399.99333333
2004,2010_37,56265.94333332
2008,2010_38,56247.33000001
2012,2010_39,58322.60333333
2016,2010_4,57780.729999999996
2020,2010_40,59420.91625
2024,2010_41,57747.20916666
2028,2010_42,59312.571250010005
2032,2010_43,58451.01166666
2036,2010_44,57174.81208333
2040,2010_45,58737.03666667
2044,2010_46,57538.98499999
2048,2010_47,59238.39166666
2052,2010_48,58445.44000001
2056,2010_49,58055.77208334
2060,2010_5,58567.10625001
2064,2010_50,56052.72625
2068,2010_51,54838.08125
2072,2010_52,40288.650416669996
2076,2010_53,20410.29416667
2080,2010_6,57445.00624999
2084,2010_7,56003.79625
2088,2010_8,60083.78583333
2092,2010_9,60491.801250000004
2096,2011_1,55800.19041667
2100,2011_10,55087.82791666
2104,2011_11,59103.58625
2108,2011_12,59241.95999999
2112,2011_13,59800.78416666
2116,2011_14,59568.33166666
2120,2011_15,57691.79625
2124,2011_16,53385.22249999
2128,2011_17,57504.40416667
2132,2011_18,57101.15499999
2136,2011_19,56062.55958333
2140,2011_2,56776.94833333
2144,2011_20,55985.288333330005
2148,2011_21,55382.18416667
2152,2011_22,55905.56791667
2156,2011_23,55987.98041667
2160,2011_24,55893.81666666
2164,2011_25,53728.65249999
2168,2011_26,55525.40708333
2172,2011_27,55482.08708333
2176,2011_28,54466.01125001
2180,2011_29,55205.92833333
2184,2011_3,56019.09916667
2188,2011_30,55741.332500000004
2192,2011_31,56815.65875001
2196,2011_32,56408.16958334
2200,2011_33,56666.93708333
2204,2011_34,57098.52458332
2208,2011_35,57801.587916669996
2212,2011_36,56812.68875001
2216,2011_37,58203.59083334
2220,2011_38,57623.23708333
2224,2011_39,58985.96458333
2228,2011_4,56767.11125001
2232,2011_40,59082.74208333
2236,2011_41,59232.23291667
2240,2011_42,58259.66333333
2244,2011_43,58865.04416666
2248,2011_44,57237.31833334
2252,2011_45,58326.62083333
2256,2011_46,58350.19375001
2260,2011_47,60494.13375
2264,2011_48,60772.94416666
2268,2011_49,60235.86208334
2272,2011_5,55783.9525
2276,2011_50,59490.1075
2280,2011_51,59275.525
2284,2011_52,64698.45833334
2288,2011_6,56854.11
2292,2011_7,56409.687916669995
2296,2011_8,57511.23916666
2300,2011_9,57148.067916650005
2304,2012_1,68541.202875
2308,2012_10,62381.319375009996
2312,2012_11,62621.11862499
2316,2012_12,62135.51545834
2320,2012_13,62758.36366667
2324,2012_14,59620.25870834
2328,2012_15,62747.285375
2332,2012_16,62937.03870834
2336,2012_17,63785.139583330005
2340,2012_18,60701.43208334
2344,2012_19,62061.061749989996
2348,2012_2,61282.17470834
2352,2012_20,62342.05379167
2356,2012_21,60133.503041669996
2360,2012_22,59646.312
2364,2012_23,59252.96579166
2368,2012_24,59659.08229167
2372,2012_25,60293.11858334
2376,2012_26,58213.70808333
2380,2012_27,58397.89241666
2384,2012_28,59628.48529168
2388,2012_29,59303.32400001
2392,2012_3,60667.9215
2396,2012_30,58929.352166669996
2400,2012_31,58076.93187499
2404,2012_32,59651.11295833
2408,2012_33,58955.27416667
2412,2012_34,58576.37166667
2416,2012_35,60435.18137499
2420,2012_36,58896.95654168
2424,2012_37,61835.84745833
2428,2012_38,63022.63070833
2432,2012_39,62445.10483333
2436,2012_4,59784.24925001
2440,2012_40,60652.88683333
2444,2012_41,60409.35595833
2448,2012_42,61967.10620832
2452,2012_43,61202.28804166
2456,2012_44,61662.81791666
2460,2012_45,62119.16783335
2464,2012_46,62370.69429166
2468,2012_47,64667.55391668
2472,2012_48,64135.32270834
2476,2012_49,65250.9795
2480,2012_5,60841.97600001
2484,2012_50,65925.21370833
2488,2012_51,65318.578166679996
2492,2012_52,69158.592875
2496,2012_6,62364.98266666
2500,2012_7,59470.10229167
2504,2012_8,56022.116416670004
2508,2012_9,61454.08208334
2512,2013_1,71052.319125
2516,2013_10,67825.43979166
2520,2013_11,69032.06945833
2524,2013_12,67434.529375
2528,2013_13,65073.664375
2532,2013_14,68956.74908334
2536,2013_15,69910.762375
2540,2013_16,68318.98654167
2544,2013_17,63181.7615
2548,2013_18,61874.264375
2552,2013_19,64791.55587501
2556,2013_2,65322.051125
2560,2013_20,63986.87662501
2564,2013_21,64350.84954167
2568,2013_22,63511.42825
2572,2013_23,64121.40770833
2576,2013_24,63211.70683335
2580,2013_25,63566.741749990004
2584,2013_26,61772.178291669996
2588,2013_27,61597.07804168
2592,2013_28,61948.74349999
2596,2013_29,62564.22300001
2600,2013_3,64264.859458319996
2604,2013_30,63121.78758333
2608,2013_31,62655.50062501
2612,2013_32,62832.019030409996
2616,2013_33,64039.1905948
2620,2013_34,62717.089625
2624,2013_35,61785.72595832
2628,2013_36,62786.481374999996
2632,2013_37,63373.01937501
2636,2013_38,66013.07300001
2640,2013_39,67034.257625
2644,2013_4,64309.60883334
2648,2013_40,66892.95238015
2652,2013_41,64915.70354167
2656,2013_42,66484.42883695
2660,2013_43,66907.90750001
2664,2013_44,66387.12874998999
2668,2013_45,66301.41370833
2672,2013_46,65705.26658334
2676,2013_47,67053.58379168
2680,2013_48,58884.41570833
2684,2013_49,69761.95404168
2688,2013_5,65861.25704165999
2692,2013_50,69393.62295833
2696,2013_51,65940.87375
2700,2013_52,62961.87204167
2704,2013_6,65936.31245832
2708,2013_7,62960.2765
2712,2013_8,65606.91104165
2716,2013_9,67021.97512499
2720,2014_1,74939.67505717
2724,2014_10,65945.00141666
2728,2014_11,68593.17295833
2732,2014_12,69145.16541666
2736,2014_13,69479.42946967
2740,2014_14,69720.78124094999
2744,2014_15,68910.33593842
2748,2014_16,66153.54987453
2752,2014_17,69519.63325843
2756,2014_18,64032.64839421
2760,2014_19,67210.08661066
2764,2014_2,66999.54146666
2768,2014_20,66496.78380546
2772,2014_21,67962.81950136
2776,2014_22,66599.06229738
2780,2014_23,66642.1340994
2784,2014_24,65001.83789763
2788,2014_25,62857.1778935
2792,2014_26,62062.65296729
2796,2014_27,64304.975358840005
2800,2014_28,64231.153930039996
2804,2014_29,64610.58120108
2808,2014_3,68874.59470385
2812,2014_30,64376.07494462
2816,2014_31,64113.66074676
2820,2014_32,64299.327598870004
2824,2014_33,64411.836316839996
2828,2014_34,65047.519074050004
2832,2014_35,65720.54167624
2836,2014_36,67387.10875008
2840,2014_37,65516.53969818
2844,2014_38,67078.81742583
2848,2014_39,67721.53063277999
2852,2014_4,69246.03266667
2856,2014_40,67541.63875396
2860,2014_41,66334.19044102001
2864,2014_42,69169.2566542
2868,2014_43,68050.62804805
2872,2014_44,68007.48399853
2876,2014_45,69136.61164761
2880,2014_46,70048.41824556
2884,2014_47,67653.08006397
2888,2014_48,70025.32461056
2892,2014_49,70258.45411679
2896,2014_5,58973.46065
2900,2014_50,68717.13853983
2904,2014_51,67187.00527544
2908,2014_52,64112.28456358
2912,2014_6,67717.58518333
2916,2014_7,68676.15629166
2920,2014_8,68456.91108334
2924,2014_9,68896.62437501
2928,2015_1,35629.61811255
2932,2015_10,69258.18153066
2936,2015_11,70778.68466833001
2940,2015_12,71370.54207625
2944,2015_13,70405.68489512
2948,2015_14,68675.27441495
2952,2015_15,61549.495761030004
2956,2015_16,71303.91254933
2960,2015_17,70059.77583119
2964,2015_18,67566.44210393
2968,2015_19,69725.29178916
2972,2015_2,69546.91296824
2976,2015_20,69329.34754978999
2980,2015_21,68988.4486729
2984,2015_22,69193.43883689
2988,2015_23,67200.51607729
