,Ano_sem,EOLIELÉTRICA,FOTOVOLTAICA,HIDROELÉTRICA,TÉRMICA
92,2002_46,0.0,0.0,127772.75714285715,725.4114285714286
93,2002_47,0.0,0.0,137397.82857142857,555.3514285714285
94,2002_48,0.0,0.0,139790.04285714286,1405.9514285714286
95,2002_49,0.0,0.0,143699.42857142858,2431.1257142857144
96,2002_5,0.0,0.0,97594.72857142857,1028.2614285714285
97,2002_50,0.0,0.0,140178.3,1234.5542857142857
98,2002_51,0.0,0.0,142730.18571428573,1874.9899999999998
99,2002_52,0.0,0.0,119130.55714285714,1342.152857142857
100,2002_6,0.0,0.0,90152.98571428572,1674.7457142857143
101,2002_7,0.0,0.0,85344.44285714286,1682.267142857143
102,2002_8,0.0,0.0,98738.34285714287,1469.1928571428573
103,2002_9,0.0,0.0,100403.51428571428,865.6885714285714
104,2003_1,0.0,0.0,104365.49625,7345.1025
105,2003_10,0.0,0.0,114427.31857142856,618.4057142857143
106,2003_11,0.0,0.0,120336.00857142857,1334.3385714285712
107,2003_12,0.0,0.0,115716.50857142858,940.4771428571429
108,2003_13,0.0,0.0,116420.58142857142,2460.7157142857145
109,2003_14,0.0,0.0,116740.28571428571,4458.871428571429
110,2003_15,0.0,0.0,118791.25714285715,4245.04
111,2003_16,0.0,0.0,118144.27714285713,993.3542857142857
112,2003_17,0.0,0.0,119829.26142857142,652.3285714285714
113,2003_18,0.0,0.0,114657.88,726.5828571428572
114,2003_19,0.0,0.0,117660.58571428571,1265.9828571428573
115,2003_2,0.0,0.0,127278.71428571429,2123.662857142857
116,2003_20,0.0,0.0,111856.24857142857,1809.7542857142855
117,2003_21,0.0,0.0,115084.93857142856,857.0
118,2003_22,0.0,0.0,115213.43999999999,2472.35
119,2003_23,0.0,0.0,112253.52814285713,1257.8999999999999
120,2003_24,0.0,0.0,99274.07142857143,1298.7442857142855
121,2003_25,0.0,0.0,92266.60571428572,4022.2085714285713
122,2003_26,0.0,0.0,98212.8642857143,2881.0885714285714
123,2003_27,0.0,0.0,94264.59999999999,3321.782857142857
124,2003_28,0.0,0.0,101175.07142857143,3575.057142857143
125,2003_29,0.0,0.0,102945.35714285714,3323.812857142857
126,2003_3,0.0,0.0,133832.7857142857,2241.432857142857
127,2003_30,0.0,0.0,101384.01857142858,3522.214285714286
128,2003_31,0.0,0.0,101205.32857142857,3049.5728571428576
129,2003_32,0.0,0.0,97357.40000000001,2401.437142857143
130,2003_33,0.0,0.0,102118.57571428572,1265.7528571428572
131,2003_34,0.0,0.0,102626.74285714285,1972.7471428571428
132,2003_35,0.0,0.0,106972.41571428571,1415.7099999999998
133,2003_36,0.0,0.0,103951.67714285714,1006.5142857142857
134,2003_37,0.0,0.0,102894.87142857142,1038.07
135,2003_38,0.0,0.0,109085.04000000001,1217.4142857142856
136,2003_39,0.0,0.0,113052.09,2390.182857142857
137,2003_4,0.0,0.0,122778.52857142857,2088.9185714285713
138,2003_40,0.0,0.0,113840.31571428571,2064.647142857143
139,2003_41,0.0,0.0,119082.72857142857,2966.88
140,2003_42,0.0,0.0,116759.33571428571,3006.0299999999997
141,2003_43,0.0,0.0,123278.05857142857,3468.2942857142857
142,2003_44,0.0,0.0,118964.81285714285,3201.3557142857144
143,2003_45,0.0,0.0,111548.15714285713,2703.367142857143
144,2003_46,0.0,0.0,117333.47,2281.95
145,2003_47,0.0,0.0,113638.31571428571,3899.7514285714287
146,2003_48,0.0,0.0,117291.93999999999,3195.637142857143
147,2003_49,0.0,0.0,115008.29428571429,6865.407142857142
148,2003_5,0.0,0.0,118845.57142857143,1533.347142857143
149,2003_50,0.0,0.0,111835.64285714286,7467.808571428572
150,2003_51,0.0,0.0,110676.40857142858,5619.660000000001
151,2003_52,0.0,0.0,99246.76285714285,8771.724285714286
152,2003_6,0.0,0.0,117686.36285714286,4168.378571428571
153,2003_7,0.0,0.0,117549.78428571428,3856.8857142857146
154,2003_8,0.0,0.0,119498.2342857143,1838.3842857142856
155,2003_9,0.0,0.0,116114.69571428571,635.9828571428571
156,2004_1,0.0,0.0,78184.735,17055.7125
157,2004_10,0.0,0.0,107569.88428571427,6448.2757142857145
158,2004_11,0.0,0.0,101699.54142857144,6074.138571428572
159,2004_12,0.0,0.0,101403.34571428572,6712.08
160,2004_13,0.0,0.0,107765.06999999999,8287.922857142858
161,2004_14,0.0,0.0,124489.2,8280.108571428571
162,2004_15,0.0,0.0,112306.5,8356.412857142857
163,2004_16,0.0,0.0,133540.69285714286,7845.268571428571
164,2004_17,0.0,0.0,134431.98857142858,8657.06
165,2004_18,0.0,0.0,133327.72285714286,9068.324285714287
166,2004_19,0.0,0.0,134099.29714285713,9159.214285714286
167,2004_2,0.0,0.0,83301.68571428572,26653.97428571429
168,2004_20,0.0,0.0,137016.13999999998,9395.942857142858
169,2004_21,0.0,0.0,124079.93714285713,10594.755714285715
170,2004_22,0.0,0.0,119406.32714285715,5970.2757142857145
171,2004_23,0.0,0.0,118469.50571428573,5487.782857142856
172,2004_24,0.0,0.0,108366.27857142857,10286.679999999998
173,2004_25,0.0,0.0,101321.1357142857,12243.372857142856
174,2004_26,0.0,0.0,103616.55571428571,9087.077142857142
175,2004_27,0.0,0.0,109087.90000000001,6335.652857142857
176,2004_28,0.0,0.0,116468.70428571428,6035.667142857143
177,2004_29,0.0,0.0,117166.72571428571,7213.271428571427
178,2004_3,0.0,0.0,81027.89428571428,20954.996857142858
179,2004_30,0.0,0.0,112175.7,7600.54
180,2004_31,0.0,0.0,117141.63,7062.284285714285
181,2004_32,0.0,0.0,124497.30857142857,3358.467142857143
182,2004_33,0.0,0.0,124171.80714285714,7109.527142857143
183,2004_34,0.0,0.0,133020.64571428573,6482.314285714286
184,2004_35,0.0,0.0,136217.80571428573,8549.901428571427
185,2004_36,0.0,0.0,141378.81714285715,8194.932857142858
186,2004_37,0.0,0.0,136025.35142857142,9723.261428571428
187,2004_38,0.0,0.0,144974.65571428573,5934.148571428572
188,2004_39,0.0,0.0,140945.00714285715,8023.104285714285
189,2004_4,0.0,0.0,78477.68285714286,17979.425714285713
190,2004_40,0.0,0.0,133069.88428571427,11144.09
191,2004_41,0.0,0.0,142438.3457142857,10352.528571428571
192,2004_42,0.0,0.0,142204.65714285715,8368.048571428571
193,2004_43,0.0,0.0,146311.4757142857,10264.772857142858
194,2004_44,0.0,0.0,142509.53,9291.371428571429
195,2004_45,0.0,0.0,138515.3657142857,7354.9685714285715
196,2004_46,0.0,0.0,146271.95285714287,8406.132857142857
197,2004_47,0.0,0.0,142199.70285714287,10469.738571428572
198,2004_48,0.0,0.0,143917.53857142857,9674.861428571428
199,2004_49,0.0,0.0,138738.18,9330.691428571428
200,2004_5,0.0,0.0,117288.55714285714,9214.098571428573
201,2004_50,0.0,0.0,140381.2185714286,4357.124285714286
202,2004_51,0.0,0.0,134102.65,7584.825714285714
203,2004_52,0.0,0.0,127354.27,6349.672857142857
204,2004_53,0.0,0.0,124504.49399999999,10156.7
205,2004_6,0.0,0.0,135243.64428571428,4454.701428571429
206,2004_7,0.0,0.0,137248.04857142858,6419.001428571429
207,2004_8,0.0,0.0,116662.0457142857,8199.965714285714
208,2004_9,0.0,0.0,104741.81571428571,5771.302857142858
209,2005_1,0.0,0.0,126692.17571428571,8160.349999999999
210,2005_10,0.0,0.0,153939.94857142857,10188.277142857143
211,2005_11,0.0,0.0,148514.34285714285,10266.255714285715
212,2005_12,0.0,0.0,137873.0,11878.75
213,2005_13,0.0,0.0,147826.95857142858,7021.2
214,2005_14,0.0,0.0,151345.52285714287,5875.365714285714
215,2005_15,0.0,0.0,148983.32571428572,7747.79
216,2005_16,0.0,0.0,151472.1242857143,6474.18
217,2005_17,0.0,0.0,153565.51857142855,6291.9114285714295
218,2005_18,0.0,0.0,144740.68285714285,8360.657142857142
219,2005_19,0.0,0.0,146859.00285714286,8378.617142857143
220,2005_2,0.0,0.0,123986.90142857144,11750.872857142856
221,2005_20,0.0,0.0,143586.08142857143,3518.9857142857145
222,2005_21,0.0,0.0,132659.84,6910.384285714286
223,2005_22,0.0,0.0,123734.53285714285,4258.5314285714285
224,2005_23,0.0,0.0,120950.77571428572,6574.57
225,2005_24,0.0,0.0,131455.12857142856,7998.374285714286
226,2005_25,0.0,0.0,143273.07285714286,5212.717142857144
227,2005_26,0.0,0.0,142368.82857142857,5040.755714285714
228,2005_27,0.0,0.0,141008.93285714285,5752.7242857142855
229,2005_28,0.0,0.0,135837.42142857143,3673.38
230,2005_29,0.0,0.0,138182.35714285713,6064.1900000000005
231,2005_3,0.0,0.0,130343.67285714285,11023.070000000002
232,2005_30,0.0,0.0,122071.30571428571,6281.441428571428
233,2005_31,0.0,0.0,123238.87428571428,7085.287142857143
234,2005_32,0.0,0.0,142856.06428571427,6490.518571428571
235,2005_33,0.0,0.0,142372.32714285716,6801.908571428571
236,2005_34,0.0,0.0,140398.73857142858,6756.881428571428
237,2005_35,0.0,0.0,142265.81142857144,6486.678571428572
238,2005_36,0.0,0.0,141978.83714285714,6104.324285714286
239,2005_37,0.0,0.0,144250.79142857142,6061.9914285714285
240,2005_38,0.0,0.0,147826.34714285715,5788.837142857143
241,2005_39,0.0,0.0,150848.2557142857,5227.261428571429
242,2005_4,0.0,0.0,130484.57999999999,8917.24142857143
243,2005_40,0.0,0.0,156207.49285714285,7142.374285714285
244,2005_41,0.0,0.0,150626.9587142857,6544.294285714285
245,2005_42,0.0,0.0,146197.85799999998,6792.678285714285
246,2005_43,0.0,0.0,146920.13885714285,6469.1425714285715
247,2005_44,0.0,0.0,141111.88128571428,6523.325714285714
248,2005_45,0.0,0.0,154367.23714285714,6220.612142857143
249,2005_46,0.0,0.0,146472.78642857142,6448.412714285713
250,2005_47,0.0,0.0,156678.95285714284,5794.982857142857
251,2005_48,0.0,0.0,147883.66857142857,7335.537142857143
252,2005_49,0.0,0.0,149012.74714285714,4061.874285714286
253,2005_5,0.0,0.0,119981.53857142858,10598.83
254,2005_50,0.0,0.0,153772.62000000002,4445.5
255,2005_51,0.0,0.0,142329.22428571427,3249.8957142857143
256,2005_52,0.0,0.0,138552.94333333333,5837.621666666666
257,2005_53,0.0,0.0,103279.41,6303.375
258,2005_6,0.0,0.0,114920.64571428571,9589.46142857143
259,2005_7,0.0,0.0,121260.81714285714,8858.452857142856
260,2005_8,0.0,0.0,148975.90714285715,7571.875714285714
261,2005_9,0.0,0.0,152705.2857142857,10869.528571428571
262,2006_1,0.0,0.0,134935.33285714287,5001.422857142857
263,2006_10,0.0,0.0,146167.36285714287,2062.052857142857
264,2006_11,0.0,0.0,128076.11857142857,2869.4828571428575
265,2006_12,0.0,0.0,122018.62999999999,5651.962857142857
266,2006_13,2.5914285714285716,0.0,128884.72571428573,4068.8342857142857
267,2006_14,10.541428571428572,0.0,128167.97285714284,4594.348571428572
268,2006_15,11.93142857142857,0.0,141617.62714285712,4518.717142857143
269,2006_16,8.950000000000001,0.0,154332.7257142857,5440.527142857143
270,2006_17,16.541428571428572,0.0,158090.30142857143,5083.305714285714
271,2006_18,52.34142857142857,0.0,155555.39571428573,4155.551428571429
272,2006_19,52.20285714285715,0.0,154554.81285714285,4432.4742857142855
273,2006_2,0.0,0.0,142909.77714285714,3757.1085714285714
274,2006_20,60.43714285714286,0.0,148494.13142857145,5057.115714285714
275,2006_21,15.752857142857144,0.0,141345.68571428573,5260.897142857143
276,2006_22,145.6942857142857,0.0,137468.03,2268.78
277,2006_23,141.42142857142855,0.0,135792.03857142857,4099.385714285714
278,2006_24,110.5257142857143,0.0,130284.03,5478.114285714286
279,2006_25,193.03714285714287,0.0,146962.55571428573,4244.707142857143
280,2006_26,225.45857142857145,0.0,149256.77285714287,4091.0071428571428
281,2006_27,267.8514285714286,0.0,151285.5957142857,4735.637142857143
282,2006_28,317.7857142857143,0.0,153478.81714285715,4327.295714285714
283,2006_29,412.79714285714283,0.0,152059.20142857142,4992.941428571428
284,2006_3,0.0,0.0,143132.57,4705.325714285714
285,2006_30,252.4114285714286,0.0,155452.93571428573,3591.9728571428573
286,2006_31,524.5771428571428,0.0,160597.9742857143,1539.5814285714284
287,2006_32,462.5814285714286,0.0,158882.7542857143,2126.134285714286
288,2006_33,420.2714285714286,0.0,160781.4842857143,679.6185714285714
289,2006_34,523.4571428571428,0.0,164296.85714285713,1473.097142857143
290,2006_35,414.21714285714285,0.0,162500.7714285714,3711.5257142857145
291,2006_36,485.2814285714286,0.0,165456.57714285716,1446.1328571428571
292,2006_37,645.2414285714285,0.0,169014.58142857143,3762.5385714285717
293,2006_38,501.44571428571425,0.0,176220.55714285714,237.4742857142857
294,2006_39,616.34,0.0,166672.16,3311.272857142857
295,2006_4,0.0,0.0,147029.38285714286,4792.805714285714
296,2006_40,702.7871428571428,0.0,173006.39571428573,2624.9114285714286
297,2006_41,645.7914285714286,0.0,171482.01142857145,3974.2014285714286
298,2006_42,426.1171428571429,0.0,176345.67714285714,1345.58
299,2006_43,455.0157142857143,0.0,169563.33142857143,346.7785714285714
300,2006_44,614.9971428571428,0.0,167864.85285714286,169.8057142857143
301,2006_45,230.68714285714285,0.0,178468.35142857142,486.6442857142857
302,2006_46,586.7271428571429,0.0,171400.85,261.81142857142856
303,2006_47,450.5285714285714,0.0,175887.60285714286,315.98999999999995
304,2006_48,520.8257142857143,0.0,181853.2542857143,228.92142857142858
305,2006_49,331.68857142857144,0.0,182982.17714285714,189.37714285714284
306,2006_5,0.0,0.0,143370.13428571427,3940.452857142857
307,2006_50,434.07714285714286,0.0,183911.92714285714,393.1328571428571
308,2006_51,440.21999999999997,0.0,184666.6842857143,151.42285714285714
309,2006_52,190.79500000000002,0.0,161533.305,236.02625
310,2006_6,0.0,0.0,148176.52714285714,3562.3971428571426
311,2006_7,0.0,0.0,140416.79142857142,3097.785714285714
312,2006_8,0.0,0.0,149035.37142857144,2887.6971428571424
313,2006_9,0.0,0.0,134365.13857142857,5050.47
314,2007_1,408.5825,0.0,163505.56375,2776.3
315,2007_10,390.98999999999995,0.0,170735.02285714285,970.6371428571429
316,2007_11,292.41857142857145,0.0,177667.55857142856,238.09285714285716
317,2007_12,311.9742857142857,0.0,182741.37142857144,234.22142857142856
318,2007_13,456.3828571428572,0.0,170237.36000000002,826.2071428571428
319,2007_14,442.0,0.0,154663.8157142857,742.2557142857142
320,2007_15,327.7885714285714,0.0,157271.32285714286,673.7700000000001
321,2007_16,199.46571428571428,0.0,146348.23285714287,762.2828571428572
322,2007_17,174.31857142857143,0.0,139498.0942857143,672.6871428571428
323,2007_18,321.20142857142855,0.0,130705.45571428572,841.7485714285714
324,2007_19,187.23142857142855,0.0,146555.80857142858,507.18
325,2007_2,306.98285714285714,0.0,182607.67571428572,285.44428571428574
326,2007_20,249.49285714285716,0.0,135718.80857142858,595.0557142857143
327,2007_21,197.00857142857143,0.0,148634.17714285714,547.9585714285714
328,2007_22,279.2628571428572,0.0,157713.96285714285,567.3857142857142
329,2007_23,126.77142857142859,0.0,164966.66571428571,561.0642857142858
330,2007_24,277.36571428571426,0.0,164615.8757142857,680.1542857142857
331,2007_25,419.5371428571429,0.0,145853.4042857143,520.78
332,2007_26,169.25857142857143,0.0,151827.1,553.7328571428571
333,2007_27,141.60000000000002,0.0,174937.82,1197.3457142857144
334,2007_28,257.2785714285714,0.0,173628.19999999998,3054.194285714286
335,2007_29,297.5828571428571,0.0,171277.97,2824.904285714286
336,2007_3,488.10857142857145,0.0,176832.34,552.1971428571429
337,2007_30,298.4871428571428,0.0,161535.77714285714,2863.317142857143
338,2007_31,561.7585714285714,0.0,134368.60571428572,2947.628571428572
339,2007_32,559.49,0.0,134098.29285714286,2843.0185714285717
340,2007_33,521.4885714285714,0.0,131034.12142857142,2303.654285714286
341,2007_34,534.6128571428571,0.0,135403.32571428572,2891.867142857143
342,2007_35,588.4971428571428,0.0,150793.55428571426,3294.011428571429
343,2007_36,640.9285714285714,0.0,167786.73142857145,5146.011428571429
344,2007_37,610.8342857142858,0.0,175136.15142857144,5147.62
345,2007_38,664.1685714285715,0.0,172811.06285714285,3860.0414285714287
346,2007_39,697.1614285714286,0.0,172434.68,3700.3585714285714
347,2007_4,360.57000000000005,0.0,187053.6171428571,784.9614285714285
348,2007_40,720.62,0.0,173569.39142857143,3932.4385714285713
349,2007_41,741.59,0.0,175158.02857142856,3459.871428571428
350,2007_42,524.9085714285713,0.0,179140.17857142858,3668.524285714286
351,2007_43,650.5371428571428,0.0,181190.41714285713,3772.4785714285713
352,2007_44,552.4514285714286,0.0,180819.71285714285,3889.2514285714283
353,2007_45,669.8671428571428,0.0,184123.08571428573,4307.578571428572
354,2007_46,618.25,0.0,166515.41714285713,4482.155714285715
355,2007_47,436.09285714285716,0.0,167680.9042857143,4462.762857142857
356,2007_48,416.7157142857142,0.0,166265.66571428571,4678.18
357,2007_49,360.70142857142855,0.0,159553.91142857145,7126.545714285714
358,2007_5,228.21857142857144,0.0,188774.16999999998,769.4157142857142
359,2007_50,525.3371428571428,0.0,145239.01142857145,8850.615714285714
360,2007_51,446.59999999999997,0.0,141222.37857142856,13277.201428571429
361,2007_52,679.592857142857,0.0,126913.98857142858,18920.664285714283
362,2007_6,428.01142857142855,0.0,187739.35142857142,678.1842857142857
363,2007_7,124.94000000000001,0.0,170222.10714285713,702.64
364,2007_8,173.83714285714288,0.0,147453.0942857143,608.1385714285715
365,2007_9,387.0357142857143,0.0,164287.32285714286,665.4371428571429
366,2008_1,624.1055555555555,0.0,104993.55777777778,17330.17222222222
367,2008_10,241.65142857142857,0.0,91408.16714285714,23816.88857142857
368,2008_11,117.24428571428572,0.0,89405.66285714286,20292.534285714286
369,2008_12,51.45142857142857,0.0,82621.92428571428,17651.308571428573
370,2008_13,38.205714285714286,0.0,85811.89857142858,16397.232857142855
371,2008_14,44.61714285714286,0.0,109979.68571428572,12097.06857142857
372,2008_15,111.06857142857143,0.0,113966.05857142857,5297.795714285714
373,2008_16,163.68142857142857,0.0,97903.37714285715,9109.078571428572
374,2008_17,175.81285714285715,0.0,89100.62142857142,10798.558571428572
375,2008_18,156.99428571428572,0.0,94872.37714285715,9320.48142857143
376,2008_19,86.20142857142858,0.0,94446.57714285715,9729.761428571428
377,2008_2,497.67571428571426,0.0,94045.86714285715,25517.704285714284
378,2008_20,281.96999999999997,0.0,97483.67142857143,11597.23
379,2008_21,177.2642857142857,0.0,98717.74571428572,8691.332857142857
380,2008_22,123.52142857142857,0.0,99594.7957142857,11735.73
381,2008_23,228.75,0.0,96182.98999999999,11089.47
382,2008_24,304.33714285714285,0.0,106429.14571428571,11613.324285714285
383,2008_25,304.92,0.0,104684.46714285715,9454.774285714286
384,2008_26,405.12857142857143,0.0,101735.59714285714,11087.938571428573
385,2008_27,376.3157142857143,0.0,107991.83571428571,7477.682857142857
386,2008_28,447.35571428571427,0.0,102729.21571428572,4289.215714285715
387,2008_29,441.09142857142854,0.0,99773.7342857143,4372.965714285714
388,2008_3,389.7728571428571,0.0,90917.72142857143,27632.868571428575
389,2008_30,429.88571428571424,0.0,108691.51142857142,4687.234285714286
390,2008_31,405.0442857142857,0.0,119318.66714285714,4532.075714285714
391,2008_32,343.81,0.0,129730.96285714286,3696.032857142857
392,2008_33,441.2442857142857,0.0,143326.05285714284,4542.16
393,2008_34,582.6542857142857,0.0,143078.50857142857,4962.534285714285
394,2008_35,418.11571428571426,0.0,146178.8757142857,4298.875714285714
395,2008_36,483.61285714285714,0.0,140396.83285714284,4452.812857142857
396,2008_37,543.1171428571429,0.0,140928.27,3768.4928571428572
397,2008_38,539.0842857142858,0.0,134209.95857142858,4592.9857142857145
398,2008_39,431.27,0.0,132523.17142857143,3863.8314285714287
399,2008_4,315.7357142857143,0.0,90217.56714285714,27874.042857142857
400,2008_40,620.4,0.0,134747.83857142858,2534.6657142857143
401,2008_41,641.54,0.0,150733.56428571427,5571.88
402,2008_42,505.73999999999995,0.0,158731.86285714287,4882.144285714286
403,2008_43,780.9,0.0,164271.7714285714,5240.25
404,2008_44,604.7299999999999,0.0,170477.69428571427,5203.282857142856
405,2008_45,523.9014285714286,0.0,172217.87285714285,4835.278571428571
406,2008_46,488.8142857142857,0.0,152925.16,4846.857142857143
407,2008_47,489.7657142857143,0.0,146070.4342857143,5802.255714285714
408,2008_48,501.81142857142856,0.0,141918.0942857143,6759.61
409,2008_49,222.71714285714285,0.0,140619.6542857143,6180.722857142857
410,2008_5,267.4214285714285,0.0,83398.84142857142,29026.641428571427
411,2008_50,353.8885714285715,0.0,132149.4385714286,5992.007142857144
412,2008_51,505.5785714285715,0.0,132031.36714285714,5689.925714285715
413,2008_52,438.50428571428574,0.0,111464.7242857143,5878.152857142857
414,2008_6,457.86428571428576,0.0,84078.03285714285,28833.10714285714
415,2008_7,476.07714285714286,0.0,82204.15428571429,26653.95285714286
416,2008_8,394.3742857142857,0.0,83002.53285714285,25113.374285714286
417,2008_9,148.96714285714285,0.0,82092.27857142857,23793.492857142857
418,2009_1,225.2575,0.0,100425.5325,5687.6675
419,2009_10,206.79142857142855,0.0,131572.4714285714,1334.4842857142855
420,2009_11,258.6171428571428,0.0,136157.2742857143,2840.002857142857
421,2009_12,164.58285714285714,0.0,130946.49142857142,2318.817142857143
422,2009_13,184.25,0.0,129755.00285714286,2345.6457142857143
423,2009_14,57.462857142857146,0.0,122206.42142857143,4816.081428571429
424,2009_15,78.34,0.0,116938.73857142856,2925.41
425,2009_16,183.1042857142857,0.0,145458.83857142858,3606.4285714285716
426,2009_17,83.1842857142857,0.0,131186.33285714284,905.3142857142857
427,2009_18,79.01,0.0,153663.4128571429,2970.81
428,2009_19,58.971428571428575,0.0,161831.4042857143,1059.5828571428572
429,2009_2,510.0157142857143,0.0,112311.12571428572,4921.552857142858
430,2009_20,58.13142857142857,0.0,171254.13142857142,938.5699999999999
431,2009_21,157.88285714285715,0.0,167378.1585714286,866.7557142857142
432,2009_22,138.79571428571427,0.0,160409.31714285715,945.4485714285713
433,2009_23,136.2642857142857,0.0,151343.17428571428,1511.9057142857143
434,2009_24,270.33857142857147,0.0,144143.7814285714,1628.7942857142857
435,2009_25,329.7085714285714,0.0,150843.72142857144,12016.987142857144
