,Ano_sem,ena_bruta_regiao_mwmed,ena_bruta_regiao_percentualmlt,ena_armazenavel_regiao_mwmed,ena_armazenavel_regiao_percentualmlt
2588,2013_27,19180.0,70.80857304285715,18991.0,70.11000061142856
2592,2013_28,18263.0,67.42428698,18154.0,67.02142988
2596,2013_29,17541.0,64.76000050142856,17415.0,64.29142815714286
2600,2013_3,26743.0,27.66571399,24522.0,25.36285700285714
2604,2013_30,17192.0,63.47000013142857,17053.0,62.955714088571426
2608,2013_31,16190.0,64.76714324857143,16023.0,64.09000124285714
2612,2013_32,16315.0,69.06857081857143,16144.0,68.34571402285714
2616,2013_33,16340.0,69.17428697857143,16167.0,68.4428580142857
2620,2013_34,15524.0,65.71999903999999,15347.0,64.96999903999999
2624,2013_35,14863.0,63.9585713,14719.0,63.3371424
2628,2013_36,13570.0,64.27142769857143,13412.0,63.52285766571429
2632,2013_37,12476.0,59.088571820000006,12325.0,58.37428610714286
2636,2013_38,12450.0,58.96714292428572,12280.0,58.15999930142857
2640,2013_39,13087.0,61.98142842,12922.0,61.20285688285714
2644,2013_4,44672.0,46.20857184285715,43075.0,44.55571419857143
2648,2013_40,12065.0,53.075714655714286,11909.0,52.39571435
2652,2013_41,12065.0,52.362857274285716,11901.0,51.65142822285714
2656,2013_42,12749.0,55.33142798,12569.0,54.54999978285714
2660,2013_43,18010.0,78.16571371714285,17840.0,77.42714255285715
2664,2013_44,16521.0,59.68142863714286,16464.0,59.43999917142857
2668,2013_45,16665.0,44.245714459999995,16620.0,44.124286652857144
2672,2013_46,16277.0,43.21142850571429,16247.0,43.13142830857142
2676,2013_47,16941.0,44.97571454714286,16865.0,44.77428545142857
2680,2013_48,25809.0,63.301427568571434,25687.0,62.99428613
2684,2013_49,30149.0,43.13428606142857,30104.0,43.069999692857145
2688,2013_5,60079.0,60.79999978285714,58069.0,58.77142879
2692,2013_50,42050.0,60.161428179999994,42002.0,60.09285681714285
2696,2013_51,67600.0,96.71571459142856,63750.0,91.20714351142858
2700,2013_52,102057.0,146.01571437285716,96268.0,137.73285892857143
2704,2013_6,71952.0,70.79285866857143,70859.0,69.71857234428572
2708,2013_7,84498.0,83.13857160285714,83807.0,82.45999908285715
2712,2013_8,78452.0,77.19000026428571,78269.0,77.01000104714285
2716,2013_9,52657.0,52.03428595571428,52524.0,51.90428597571429
2720,2014_1,93804.0,92.50500011375,93153.0,91.9049997325
2724,2014_10,27787.0,27.655714308571426,27760.0,27.627143042857142
2728,2014_11,27979.0,27.847142901428573,27922.0,27.788571222857144
2732,2014_12,27913.0,27.778571264285716,27852.0,27.71714265
2736,2014_13,28654.0,28.517142978571428,28642.0,28.504285812857145
2740,2014_14,26680.0,31.691428594285714,26582.0,31.571428298571426
2744,2014_15,46648.0,56.85142735142857,46588.0,56.77857153857143
2748,2014_16,40874.0,49.814285822857144,40837.0,49.768572125714286
2752,2014_17,31685.0,38.61571339,31620.0,38.535714285714285
2756,2014_18,29291.0,49.13000052571429,29241.0,49.047142574285715
2760,2014_19,25254.0,50.79714311714286,25184.0,50.657142637142854
2764,2014_2,99132.0,102.53714425142857,99123.0,102.52857208142858
2768,2014_20,23005.0,46.272856575714286,22865.0,45.99142892
2772,2014_21,19580.0,39.384285518571424,19489.0,39.19999967285714
2776,2014_22,17998.0,38.745713914285716,17863.0,38.447143555714284
2780,2014_23,16168.0,49.23285729571428,16006.0,48.73857225571429
2784,2014_24,15124.0,46.054285320000005,14989.0,45.64428547428572
2788,2014_25,14650.0,44.61000061,14524.0,44.225713999999996
2792,2014_26,14170.0,43.15000043571428,13999.0,42.62714222428571
2796,2014_27,14339.0,51.63999993428571,14138.0,50.91285705571429
2800,2014_28,14953.0,55.20142855,14805.0,54.657142637142854
2804,2014_29,15497.0,57.21142850571429,15443.0,57.01285716428571
2808,2014_3,90624.0,93.73571450142857,90572.0,93.68142808857144
2812,2014_30,16310.0,60.214285714285715,16158.0,59.65428488571428
2816,2014_31,16975.0,66.33857127571429,16831.0,65.77857262714285
2820,2014_32,15427.0,65.31142698,15299.0,64.76857158142857
2824,2014_33,15015.0,63.565713609999996,14915.0,63.14142881142857
2828,2014_34,14147.0,59.89000047857143,14002.0,59.277141570000005
2832,2014_35,13483.0,57.08142852857143,13301.0,56.30857140714286
2836,2014_36,13702.0,64.89571489571429,13628.0,64.54428645571429
2840,2014_37,14122.0,66.88571494,13967.0,66.15000043428572
2844,2014_38,13934.0,65.99571555,13825.0,65.47857121
2848,2014_39,12843.0,60.82714298714286,12705.0,60.17285701142857
2852,2014_4,49364.0,51.058570859999996,49364.0,51.058570859999996
2856,2014_40,12526.0,55.78714261571429,12424.0,55.33428628142857
2860,2014_41,10872.0,47.18714305428572,10739.0,46.60857119
2864,2014_42,10666.0,46.29285757857143,10556.0,45.812856947142855
2868,2014_43,9530.0,41.36142785142857,9414.0,40.85714285571429
2872,2014_44,9329.0,36.19714273857143,9207.0,35.75999968285714
2876,2014_45,11100.0,29.46857152714286,10985.0,29.16428565857143
2880,2014_46,15539.0,41.254285540000005,15464.0,41.05285699142858
2884,2014_47,22674.0,60.19428634571428,22674.0,60.19428634571428
2888,2014_48,23440.0,62.22857121,23364.0,62.02857099142857
2892,2014_49,27470.0,39.30285698857143,27462.0,39.29142870142857
2896,2014_5,36311.0,37.04142815857143,36275.0,37.004286085714284
2900,2014_50,39209.0,56.09714344571428,39113.0,55.95999962857143
2904,2014_51,58014.0,83.00142778571428,57390.0,82.1085706442857
2908,2014_52,56507.0,80.84714290142857,54223.0,77.57571302142857
2912,2014_6,38422.0,37.804285320000005,38333.0,37.717142377142856
2916,2014_7,29775.0,29.295714242857144,29655.0,29.17714255142857
2920,2014_8,22143.0,21.787143162857145,22037.0,21.681428909999998
2924,2014_9,21162.0,20.894285747142856,21115.0,20.848571502857144
