,Ano_sem,NORDESTE
482,2010_44,118.11
483,2010_45,125.73
484,2010_46,98.71
485,2010_47,78.01
486,2010_48,82.41
487,2010_49,72.65
488,2010_5,12.8
489,2010_50,62.52
490,2010_51,53.15
491,2010_53,12.8
492,2010_6,14.84
493,2010_7,16.97
494,2010_8,34.59
495,2010_9,20.89
496,2011_1,12.08
497,2011_10,29.13
498,2011_11,13.5
499,2011_12,12.08
500,2011_13,12.08
501,2011_14,12.08
502,2011_15,12.08
503,2011_16,12.08
504,2011_17,15.57
505,2011_18,13.7
506,2011_19,15.48
507,2011_2,15.37
508,2011_20,17.06
509,2011_21,29.44
510,2011_22,32.79
511,2011_23,34.95
512,2011_24,29.67
513,2011_25,30.41
514,2011_26,27.77
515,2011_27,23.14
516,2011_28,20.97
517,2011_29,19.51
518,2011_3,21.83
519,2011_30,23.55
520,2011_31,16.17
521,2011_32,17.88
522,2011_33,24.11
523,2011_34,16.61
524,2011_35,17.2
525,2011_36,20.78
526,2011_37,23.56
527,2011_38,24.47
528,2011_39,42.97
529,2011_4,23.27
530,2011_40,43.13
531,2011_41,38.45
532,2011_42,23.59
533,2011_43,38.21
534,2011_44,43.63
535,2011_45,39.47
536,2011_46,44.9
537,2011_47,63.59
538,2011_48,51.44
539,2011_49,28.8
540,2011_5,37.78
541,2011_50,35.04
542,2011_51,29.63
543,2011_52,42.505
544,2011_6,54.1
545,2011_7,62.54
546,2011_8,79.05
547,2011_9,12.08
548,2012_1,12.2
549,2012_10,116.8
550,2012_11,119.17
551,2012_12,132.55
552,2012_13,168.38
553,2012_14,187.17
554,2012_15,180.89
555,2012_16,191.6
556,2012_17,184.51
557,2012_18,179.96
558,2012_19,170.51
559,2012_2,12.2
560,2012_20,190.84
561,2012_21,177.28
562,2012_22,146.75
563,2012_23,147.83
564,2012_24,102.87
565,2012_25,77.62
566,2012_26,56.3
567,2012_27,95.0
568,2012_28,106.43
569,2012_29,103.86
570,2012_3,12.2
571,2012_30,88.35
572,2012_31,106.59
573,2012_32,116.3
574,2012_33,128.76
575,2012_34,137.76
576,2012_35,173.95
577,2012_36,181.4
578,2012_37,190.19
579,2012_38,187.45
580,2012_39,184.15
581,2012_4,12.2
582,2012_40,256.3
583,2012_41,329.04
584,2012_42,330.39
585,2012_43,361.89
586,2012_44,429.01
587,2012_45,451.82
588,2012_46,315.12
589,2012_47,310.18
590,2012_48,203.27
591,2012_49,271.65
592,2012_5,12.2
593,2012_50,184.69
594,2012_51,315.53
595,2012_52,341.66
596,2012_6,12.2
597,2012_7,12.2
598,2012_8,14.35
599,2012_9,86.52
600,2013_1,551.68
601,2013_10,341.75
602,2013_11,338.89
603,2013_12,321.51
604,2013_13,299.64
605,2013_14,189.79
606,2013_15,151.25
607,2013_16,131.47
608,2013_17,278.7
609,2013_18,345.77
610,2013_19,356.57
611,2013_2,339.83
612,2013_20,354.32
613,2013_21,356.02
614,2013_22,323.54
615,2013_23,181.1
616,2013_24,192.06
617,2013_25,166.07
618,2013_26,99.43
619,2013_27,106.35
620,2013_28,123.73
621,2013_29,128.18
622,2013_3,478.5
623,2013_30,153.04
624,2013_31,165.67
625,2013_32,149.1
626,2013_33,174.37
627,2013_34,159.49
628,2013_35,258.13
629,2013_36,270.23
630,2013_37,274.92
631,2013_38,272.51
632,2013_39,267.3
633,2013_4,290.91
634,2013_40,254.75
635,2013_41,253.27
636,2013_42,270.87
637,2013_43,309.23
638,2013_44,316.38
639,2013_45,317.87
640,2013_46,336.58
641,2013_47,359.46
642,2013_48,309.62
643,2013_49,280.78
644,2013_5,174.99
645,2013_50,309.33
646,2013_51,294.31
647,2013_52,249.92
648,2013_6,152.61
649,2013_7,213.35
650,2013_8,312.59
651,2013_9,372.56
652,2014_1,284.27
653,2014_10,725.25
654,2014_11,822.83
655,2014_12,822.83
656,2014_13,822.83
657,2014_14,822.4
658,2014_15,751.99
659,2014_16,695.92
660,2014_17,628.3
661,2014_18,697.82
662,2014_19,820.18
663,2014_2,391.8
664,2014_20,822.83
665,2014_21,817.05
666,2014_22,577.39
667,2014_23,299.27
668,2014_24,384.12
669,2014_25,435.93
670,2014_26,368.53
671,2014_27,545.13
672,2014_28,651.08
673,2014_29,715.19
674,2014_3,410.2
675,2014_30,581.9
676,2014_31,809.43
677,2014_32,649.96
678,2014_33,697.22
679,2014_34,695.03
680,2014_35,728.81
681,2014_36,703.31
682,2014_37,770.63
683,2014_38,745.91
684,2014_39,671.68
685,2014_4,486.59
686,2014_40,697.51
687,2014_41,808.68
688,2014_42,822.83
689,2014_43,822.83
690,2014_44,822.83
691,2014_45,822.83
692,2014_46,822.83
693,2014_47,822.83
694,2014_48,548.75
695,2014_49,676.22
696,2014_5,822.83
697,2014_50,658.05
698,2014_51,658.73
699,2014_52,388.48
700,2014_6,740.56
701,2014_7,730.19
702,2014_8,730.17
703,2014_9,626.11
704,2015_1,388.48
705,2015_10,388.48
706,2015_11,388.48
707,2015_12,388.48
708,2015_13,388.48
709,2015_14,388.48
710,2015_15,388.48
711,2015_16,388.48
712,2015_17,388.48
713,2015_18,388.48
714,2015_19,388.48
715,2015_2,388.48
716,2015_20,388.48
717,2015_21,388.48
718,2015_23,379.83000000000004
719,2015_24,360.54
720,2015_25,369.03
721,2015_26,378.01
722,2015_27,317.79
723,2015_28,238.74
724,2015_29,179.81
725,2015_3,388.48
726,2015_30,180.61
727,2015_31,118.81
728,2015_32,129.52
729,2015_33,136.94
730,2015_34,139.91
731,2015_35,274.98
732,2015_36,245.97
733,2015_37,199.89
734,2015_38,222.23
735,2015_39,206.68
736,2015_4,388.48
737,2015_40,217.18
738,2015_41,205.67
739,2015_42,207.24
740,2015_43,244.03
741,2015_44,245.3
742,2015_45,212.39
743,2015_46,274.91
744,2015_47,323.15
745,2015_48,371.08
746,2015_49,323.15
747,2015_5,388.48
748,2015_50,309.97
749,2015_51,201.72
750,2015_52,344.41
751,2015_6,388.48
752,2015_7,388.48
753,2015_8,388.48
754,2015_9,388.48
755,2016_1,318.24
756,2016_10,259.26
757,2016_11,248.6
758,2016_12,265.53
759,2016_13,276.82
760,2016_14,275.5
761,2016_15,262.72
762,2016_16,275.22
763,2016_17,103.2
764,2016_18,99.79
765,2016_19,99.79
766,2016_2,309.97
767,2016_20,99.79
768,2016_21,143.67
769,2016_22,113.72
770,2016_23,130.78
771,2016_24,112.76
772,2016_25,104.13
773,2016_26,95.22
774,2016_27,108.91
775,2016_28,111.88
776,2016_29,117.05
777,2016_3,304.41
778,2016_30,117.58
779,2016_31,117.44
780,2016_32,115.63
781,2016_33,111.74
782,2016_34,140.71
783,2016_35,144.29000000000002
784,2016_36,148.26
785,2016_37,145.5
786,2016_38,155.22
787,2016_39,213.29
788,2016_4,139.88
789,2016_40,214.32
790,2016_41,193.41
791,2016_42,165.81
792,2016_43,232.85
793,2016_44,181.41
794,2016_45,169.9
795,2016_46,153.48
