,TÉRMICA,TÉRMICA_1,PLD_1,TÉRMICA_2,PLD_2,PLD_3,PLD_4,PLD_5,PLD_6,val_cargaenergiamwmed_29,val_cargaenergiamwmed_30,val_cargaenergiamwmed_34,val_cargaenergiamwmed_35,val_cargaenergiamwmed_37,val_cargaenergiamwmed_40,Class
10,517.9916142857143,608.5222285714286,4.01,582.2457142857143,4.0,319.41,4.0,4.86,5.54,5551.659047618572,5509.001011905714,5255.040654762857,4955.3266145825,5118.060357142857,5001.776904761428,muito_baixo
11,224.24514285714284,517.9916142857143,4.62,608.5222285714286,4.01,4.0,319.41,4.0,4.86,5558.509601175714,5551.659047618572,5529.452976189999,5255.040654762857,4812.976130952857,5038.4864285700005,muito_baixo
12,351.1542,224.24514285714284,6.61,517.9916142857143,4.62,4.01,4.0,319.41,4.0,5613.541607144286,5558.509601175714,5520.95047619,5529.452976189999,4955.3266145825,5086.663690478571,muito_baixo
13,603.099257142857,351.1542,6.72,224.24514285714284,6.61,4.62,4.01,4.0,319.41,5450.7911130957145,5613.541607144286,5243.035000001429,5520.95047619,5255.040654762857,5118.060357142857,muito_baixo
14,914.1242857142856,603.099257142857,5.66,351.1542,6.72,6.61,4.62,4.01,4.0,5564.626190475714,5450.7911130957145,5509.001011905714,5243.035000001429,5529.452976189999,4812.976130952857,muito_baixo
15,725.4114285714286,914.1242857142856,5.9,603.099257142857,5.66,6.72,6.61,4.62,4.01,4826.4310119057145,5564.626190475714,5551.659047618572,5509.001011905714,5520.95047619,4955.3266145825,muito_baixo
16,555.3514285714285,725.4114285714286,5.67,914.1242857142856,5.9,5.66,6.72,6.61,4.62,5588.378869047143,4826.4310119057145,5558.509601175714,5551.659047618572,5243.035000001429,5255.040654762857,muito_baixo
17,1405.9514285714286,555.3514285714285,5.66,725.4114285714286,5.67,5.9,5.66,6.72,6.61,5518.94577381,5588.378869047143,5613.541607144286,5558.509601175714,5509.001011905714,5529.452976189999,muito_baixo
18,2431.1257142857144,1405.9514285714286,5.74,555.3514285714285,5.66,5.67,5.9,5.66,6.72,5367.977071901429,5518.94577381,5450.7911130957145,5613.541607144286,5551.659047618572,5520.95047619,alto
19,1028.2614285714285,2431.1257142857144,319.41,1405.9514285714286,5.74,5.66,5.67,5.9,5.66,5445.804821428572,5367.977071901429,5564.626190475714,5450.7911130957145,5558.509601175714,5243.035000001429,muito_baixo
20,1234.5542857142857,1028.2614285714285,6.13,2431.1257142857144,319.41,5.74,5.66,5.67,5.9,5576.818988097142,5445.804821428572,4826.4310119057145,5564.626190475714,5613.541607144286,5509.001011905714,muito_baixo
21,1874.99,1234.5542857142857,4.01,1028.2614285714285,6.13,319.41,5.74,5.66,5.67,5466.84797619,5576.818988097142,5588.378869047143,4826.4310119057145,5450.7911130957145,5551.659047618572,muito_baixo
22,1342.152857142857,1874.99,4.0,1234.5542857142857,4.01,6.13,319.41,5.74,5.66,5310.723630952857,5466.84797619,5518.94577381,5588.378869047143,5564.626190475714,5558.509601175714,alto
23,1674.7457142857145,1342.152857142857,319.41,1874.99,4.0,4.01,6.13,319.41,5.74,5330.217440475714,5310.723630952857,5367.977071901429,5518.94577381,4826.4310119057145,5613.541607144286,alto
24,1682.267142857143,1674.7457142857145,319.41,1342.152857142857,319.41,4.0,4.01,6.13,319.41,5563.64892857,5330.217440475714,5445.804821428572,5367.977071901429,5588.378869047143,5450.7911130957145,alto
25,1469.1928571428573,1682.267142857143,319.41,1674.7457142857145,319.41,319.41,4.0,4.01,6.13,5604.3222619028575,5563.64892857,5576.818988097142,5445.804821428572,5518.94577381,5564.626190475714,muito_baixo
26,865.6885714285714,1469.1928571428573,4.0,1682.267142857143,319.41,319.41,319.41,4.0,4.01,4914.77779762,5604.3222619028575,5466.84797619,5576.818988097142,5367.977071901429,4826.4310119057145,muito_baixo
27,7345.1025,865.6885714285714,5.23,1469.1928571428573,4.0,319.41,319.41,319.41,4.0,5656.580119047142,4914.77779762,5310.723630952857,5466.84797619,5445.804821428572,5588.378869047143,muito_baixo
28,618.4057142857143,7345.1025,4.0,865.6885714285714,5.23,4.0,319.41,319.41,319.41,5629.817440474285,5656.580119047142,5330.217440475714,5310.723630952857,5576.818988097142,5518.94577381,muito_baixo
29,1334.3385714285712,618.4057142857143,4.0,7345.1025,4.0,5.23,4.0,319.41,319.41,5648.589404761428,5629.817440474285,5563.64892857,5330.217440475714,5466.84797619,5367.977071901429,muito_baixo
30,940.4771428571428,1334.3385714285712,4.0,618.4057142857143,4.0,4.0,5.23,4.0,319.41,5663.416607142857,5648.589404761428,5604.3222619028575,5563.64892857,5310.723630952857,5445.804821428572,muito_baixo
31,2460.7157142857145,940.4771428571428,4.0,1334.3385714285712,4.0,4.0,4.0,5.23,4.0,5655.96470238,5663.416607142857,4914.77779762,5604.3222619028575,5330.217440475714,5576.818988097142,muito_baixo
32,4458.871428571429,2460.7157142857145,5.48,940.4771428571428,4.0,4.0,4.0,4.0,5.23,5702.34404762,5655.96470238,5656.580119047142,4914.77779762,5563.64892857,5466.84797619,muito_baixo
33,4245.04,4458.871428571429,5.48,2460.7157142857145,5.48,4.0,4.0,4.0,4.0,5807.830595238572,5702.34404762,5629.817440474285,5656.580119047142,5604.3222619028575,5310.723630952857,muito_baixo
34,993.3542857142857,4245.04,5.48,4458.871428571429,5.48,5.48,4.0,4.0,4.0,5878.406547615714,5807.830595238572,5648.589404761428,5629.817440474285,4914.77779762,5330.217440475714,muito_baixo
35,652.3285714285714,993.3542857142857,5.48,4245.04,5.48,5.48,5.48,4.0,4.0,5861.06827381,5878.406547615714,5663.416607142857,5648.589404761428,5656.580119047142,5563.64892857,muito_baixo
36,726.5828571428572,652.3285714285714,5.57,993.3542857142857,5.48,5.48,5.48,5.48,4.0,5920.688214285714,5861.06827381,5655.96470238,5663.416607142857,5629.817440474285,5604.3222619028575,muito_baixo
